Geneid	gene_name	product	interaction_log2FC	interaction_padj	NK01067_log2FC	NK01067_padj	dwbbM_log2FC	dwbbM_padj
M8Y62_07820	nuoC	NADH-quinone oxidoreductase subunit C/D	-1.21330589633278	7.10954584859471e-15	0.895806240927224	6.36211921894932e-10	-0.320670824844011	0.00936223579339158
M8Y62_04655	M8Y62_04655	cobalt-precorrin-6A reductase	1.63545450357068	1.02914882476173e-14	-0.507689170837193	0.00428265079343657	1.12312247703253	9.24851067599265e-17
M8Y62_02845	M8Y62_02845	penicillin-binding protein activator	-1.51160113645835	1.06719819348537e-14	1.31936786216708	1.65469325679547e-19	-0.194391415272817	0.24123349517744
M8Y62_25295	metJ	met regulon transcriptional regulator MetJ	1.71735795843505	1.13387687292384e-14	-1.63262323895517	1.5971077777308e-26	0.0808049066513984	0.684803001142487
M8Y62_00125	dsdA	D-serine ammonia-lyase	-3.45936611899926	1.40897624557902e-14	4.48354240841475	1.43443375739062e-36	1.01980997635572	5.3500367318197e-06
M8Y62_15965	phoP	two-component system response regulator PhoP	-1.43913986797848	1.55953372821703e-14	0.242095662765403	0.181793312093595	-1.2001684512631	1.2444215422081e-22
M8Y62_04640	M8Y62_04640	cobalt-precorrin-4 methyltransferase	1.38673962690923	2.02724129045065e-14	-0.654474521617057	1.1193665650328e-07	0.72835212303765	1.68054084235363e-07
M8Y62_21855	rpsT	30S ribosomal protein S20	1.00127343709357	2.08655325370886e-14	0.580142539973963	8.00318414922003e-07	1.57836472703783	2.16090167394837e-39
M8Y62_07000	crr	PTS glucose transporter subunit IIA	0.922031900155018	2.50942531727903e-14	-1.78213996845936	1.33526306005326e-65	-0.862956381820621	6.64332998896982e-15
M8Y62_04685	M8Y62_04685	energy-coupling factor ABC transporter ATP-binding protein	2.35330934478557	3.13102298782445e-14	-1.20606455900049	1.46898359350982e-07	1.14105817194429	1.06328448605682e-10
M8Y62_14115	dmsB	dimethylsulfoxide reductase subunit B	1.74375599778777	3.22646528090978e-14	-0.418867177622796	0.0171885486458128	1.32164951253793	3.0327214603844e-17
M8Y62_04425	lgt	prolipoprotein diacylglyceryl transferase	-1.32523294690101	3.43465692288404e-14	1.54791568649517	6.41725783840549e-28	0.219539843108745	0.152394299056716
M8Y62_11955	M8Y62_11955	Grx4 family monothiol glutaredoxin	0.928844824519031	3.71644839600001e-14	-1.09912998633688	8.2648825241464e-21	-0.17303205023518	0.157057181906283
M8Y62_12255	M8Y62_12255	YncJ family protein	-2.69989102907871	3.71644839600001e-14	1.64604211992946	8.94870179254311e-09	-1.05645680883129	7.39102659678108e-07
M8Y62_02690	secG	preprotein translocase subunit SecG	1.58959107015311	3.946207976824e-14	0.0233324432392045	0.91840327191525	1.61001554204146	4.98602668251995e-44
M8Y62_14365	uspE	universal stress protein UspE	1.10847495726709	4.29307782936121e-14	-1.10623343851971	6.32291444849301e-13	-4.76111395387453e-07	0.999995897267703
M8Y62_09475	M8Y62_09475	glycosyltransferase	1.02332723719625	4.34514382315406e-14	-2.94125704244496	1.2102042427206e-119	-1.92030509322522	2.263161747602e-61
M8Y62_03400	zupT	zinc transporter ZupT	-1.39833223013509	5.19417823615424e-14	0.741080379527451	2.46797410649402e-06	-0.660876830885239	1.60393027988417e-06
M8Y62_17860	modB	molybdate ABC transporter permease subunit	-2.86197061135042	6.8305546418353e-14	3.19558328183511	1.45458028621122e-24	0.332610891710712	0.102117231488398
M8Y62_06605	M8Y62_06605	DUF2335 domain-containing protein	0.985525156255633	7.25474225650731e-14	-1.57046442321307	7.29100609151226e-47	-0.587466469474229	2.96134016207209e-06
M8Y62_02660	greA	transcription elongation factor GreA	0.930513739601799	7.31710136658393e-14	-0.0700698973166847	0.563139345919183	0.857299512731917	2.65790032875912e-13
M8Y62_26680	M8Y62_26680	alpha/beta hydrolase	1.89336134475896	7.76032298220916e-14	-1.99884381481613	1.12277998147997e-21	-0.110751812547838	0.485977938526899
M8Y62_04670	cbiM	cobalt ECF transporter S component CbiM	2.45597775489107	1.02683695960403e-13	-1.80452307050699	7.93999024049785e-15	0.645001021960942	0.000816319590144602
