Geneid	SRR35308233	SRR35308234	SRR35308235	SRR35308236	SRR35308237	SRR35308238	SRR35308239	SRR35308240	SRR35308241	SRR35308242	SRR35308243	SRR35308244
M8Y62_20640	179	192	149	145	145	128	704	575	699	154	126	244
M8Y62_20645	72	52	66	54	55	47	242	175	241	53	53	94
M8Y62_20650	118	99	100	184	209	172	470	287	346	251	273	288
M8Y62_20655	90	87	51	30	43	36	191	141	120	57	43	31
M8Y62_20660	408	474	444	203	274	236	678	504	364	261	264	223
M8Y62_20665	923	964	947	585	518	542	1664	1138	918	317	383	347
M8Y62_20670	871	839	816	369	374	414	1667	1120	987	220	255	182
M8Y62_20675	6	10	12	24	22	20	54	30	31	19	19	27
M8Y62_20680	40	75	103	110	107	92	174	134	74	81	80	54
M8Y62_20685	129	222	300	372	299	303	387	314	244	172	195	81
M8Y62_20690	96	145	185	303	249	231	332	304	176	173	174	77
M8Y62_20695	98	117	129	236	200	141	280	214	163	141	166	63
M8Y62_20700	191	175	208	231	202	256	508	327	340	118	136	120
M8Y62_20705	825	818	788	2046	2471	2239	2046	1427	1588	2939	3143	3788
M8Y62_20710	666	768	826	600	587	587	1299	935	838	331	407	251
M8Y62_20715	213	229	262	50	55	59	663	409	440	70	101	25
M8Y62_20720	2210	2568	2445	1738	1881	2142	6373	4609	4345	1531	1711	2261
M8Y62_20725	99	98	101	47	49	52	239	194	158	33	39	17
M8Y62_20730	657	747	649	378	361	396	1197	928	813	332	389	250
M8Y62_20735	280	242	218	23	44	40	254	237	184	25	46	23
M8Y62_20740	131	96	80	53	76	69	124	92	85	83	65	95
M8Y62_20745	1497	1471	1327	656	724	665	2001	1420	1205	452	513	734
M8Y62_20750	348	399	404	83	100	92	569	471	308	95	84	162
M8Y62_20755	493	525	484	127	128	139	805	618	556	98	120	186
M8Y62_20760	667	749	765	115	126	139	1209	961	657	160	175	214
M8Y62_20765	754	817	759	251	350	307	1772	1333	969	343	356	424
M8Y62_20770	918	928	929	368	405	447	2215	1860	1290	407	397	456
M8Y62_20775	327	371	380	208	206	218	1078	766	621	283	288	121
M8Y62_20780	660	767	736	1147	1256	1338	2395	1709	1712	1704	1889	1536
M8Y62_20785	322	387	368	372	389	461	998	715	745	513	566	474
M8Y62_20790	1444	1109	857	909	1120	1272	1867	1780	2575	435	529	2956
M8Y62_20795	502	565	547	444	510	516	871	601	548	409	386	458
M8Y62_20800	49	63	53	80	71	79	123	104	79	50	66	31
M8Y62_20805	250	270	278	295	349	332	597	411	352	260	282	310
M8Y62_20810	15	20	20	30	23	20	43	27	14	31	26	31
M8Y62_20815	357	399	408	255	254	261	775	529	487	210	221	154
M8Y62_20820	343	387	373	204	235	206	525	334	363	231	206	163
M8Y62_20825	416	425	460	410	477	436	853	579	541	336	404	294
M8Y62_20830	120	140	113	175	165	216	316	219	170	157	164	110
M8Y62_20835	2748	2906	2759	928	974	992	3036	2192	1999	707	810	498
M8Y62_20840	196	246	242	293	339	370	930	616	525	304	335	255
M8Y62_20845	445	483	590	489	511	574	1594	1203	896	504	511	329
M8Y62_20850	60	43	38	25	21	29	117	64	70	20	22	19
M8Y62_20855	406	413	470	941	990	957	1436	961	979	888	894	845
M8Y62_20860	60	68	62	19	12	27	211	133	103	27	14	21
M8Y62_20865	27	26	17	21	31	24	63	29	40	31	33	31
M8Y62_20870	24	24	38	44	34	36	62	35	43	53	96	48
M8Y62_20875	10473	13546	16744	27706	20870	10475	18235	11732	3136	9527	17765	26183
M8Y62_20880	17	12	14	8	9	7	39	30	43	19	20	6
M8Y62_20885	270	250	235	70	87	86	252	159	141	101	92	59
M8Y62_20890	7767	10101	13386	20080	17148	9876	11738	8307	2571	10997	17344	21271
M8Y62_20895	765	811	801	1050	1155	1187	1718	1166	1183	1092	1171	980
M8Y62_20900	164	168	144	73	92	101	441	313	330	192	210	139
M8Y62_20905	70	69	85	43	41	43	251	181	166	42	51	44
M8Y62_20910	239	208	203	300	277	309	685	475	428	317	345	373
M8Y62_20915	138	179	189	152	192	154	550	406	438	194	186	133
M8Y62_20920	196	240	237	105	105	118	595	424	396	137	124	87
M8Y62_20925	766	902	886	586	722	808	2815	1958	1856	526	618	462
M8Y62_20930	183	194	236	60	51	38	533	371	314	35	37	23
M8Y62_20935	591	614	598	552	608	651	1693	1329	1215	525	522	379
M8Y62_20940	323	318	309	157	170	201	695	476	444	59	84	53
